Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,description,published date,url,publisher,company
0,0,0,Tesla (TSLA) Shareholders Approve 3-For-1 Stock Split - Investopedia,Tesla (TSLA) Shareholders Approve 3-For-1 Stock Split  Investopedia,"Thu, 04 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtdHNsYS1zaGFyZWhvbGRlcnMtYXBwcm92ZS0zLWZvci0xLXN0b2NrLXNwbGl0LTYzNjMzMzHSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",TSLA
1,1,1,"Tesla grows revenue 42%, but automotive margins decline - CNBC","Tesla grows revenue 42%, but automotive margins decline  CNBC","Wed, 20 Jul 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDcvMjAvdGVzbGEtdHNsYS1lYXJuaW5ncy1xMi0yMDIyLS5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMDcvMjAvdGVzbGEtdHNsYS1lYXJuaW5ncy1xMi0yMDIyLS5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",TSLA
2,2,2,TSLQ vs. TSLH: A Look At Two New Tesla (TSLA) Single Stock ETFs - TheStreet,TSLQ vs. TSLH: A Look At Two New Tesla (TSLA) Single Stock ETFs  TheStreet,"Tue, 26 Jul 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vZXRmZm9jdXMvdHJhZGUtaWRlYXMvdHNscS10c2xoLWxvb2stYXQtdHdvLW5ldy10ZXNsYS10c2xhLXNpbmdsZS1zdG9jay1ldGZz0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",TSLA
3,3,3,Tesla Stock Price ($TSLA) Inspires Elon Musk Fans in South Korea - Bloomberg,Tesla Stock Price ($TSLA) Inspires Elon Musk Fans in South Korea  Bloomberg,"Tue, 23 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA4LTIzL3Rlc2xhLXRzbGEtc3RvY2stcHJpY2UtaW5zcGlyZXMtZWxvbi1tdXNrLWZlcnZvci1pbi1rb3JlYdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",TSLA
4,4,4,Tour of the Tennessee State Library & Archives This Saturday - Tennessee Secretary of State,Tour of the Tennessee State Library & Archives This Saturday  Tennessee Secretary of State,"Wed, 07 Sep 2022 17:39:33 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vc29zLnRuLmdvdi9wcmVzcy1yZWxlYXNlcy90b3VyLW9mLXRoZS10ZW5uZXNzZWUtc3RhdGUtbGlicmFyeS1hcmNoaXZlcy10aGlzLXNhdHVyZGF50gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://sos.tn.gov', 'title': 'Tennessee Secretary of State'}",TSLA
5,5,5,"Tesla stock split: Date, day of record, and what happens next - Fast Company","Tesla stock split: Date, day of record, and what happens next  Fast Company","Wed, 17 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmZhc3Rjb21wYW55LmNvbS85MDc4MDAwMC90ZXNsYS1zdG9jay1zcGxpdC1kYXRlLWRheS1vZi1yZWNvcmQtYW5kLXdoYXQtaGFwcGVucy1uZXh00gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fastcompany.com', 'title': 'Fast Company'}",TSLA
6,6,6,Tesla (TSLA) announces 3-for-1 stock split with stock dividend coming August 24 - Electrek,Tesla (TSLA) announces 3-for-1 stock split with stock dividend coming August 24  Electrek,"Fri, 05 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMibWh0dHBzOi8vZWxlY3RyZWsuY28vMjAyMi8wOC8wNS90ZXNsYS10c2xhLWFubm91bmNlcy0zLWZvci0xLXN0b2NrLXNwbGl0LXdpdGgtc3RvY2stZGl2aWRlbmQtY29taW5nLWF1Z3VzdC0yNC_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://electrek.co', 'title': 'Electrek'}",TSLA
7,7,7,Elon Musk sells TSLA stock following 2022 Annual Shareholders Meeting (Update) - TESLARATI,Elon Musk sells TSLA stock following 2022 Annual Shareholders Meeting (Update)  TESLARATI,"Tue, 09 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vd3d3LnRlc2xhcmF0aS5jb20vZWxvbi1tdXNrLXNlbGxzLXRzbGEtYXVndXN0LTUv0gE8aHR0cHM6Ly93d3cudGVzbGFyYXRpLmNvbS9lbG9uLW11c2stc2VsbHMtdHNsYS1hdWd1c3QtNS9hbXAv?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.teslarati.com', 'title': 'TESLARATI'}",TSLA
8,8,8,Tesla (TSLA) Stock Split With Stock Dividend to Aid Share Price - Yahoo Finance,Tesla (TSLA) Stock Split With Stock Dividend to Aid Share Price  Yahoo Finance,"Mon, 08 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90ZXNsYS10c2xhLXN0b2NrLXNwbGl0LXN0b2NrLTE1MDcwMzM1Mi5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",TSLA
9,9,9,"If You Invested $10,000 in Tesla for Its IPO in 2010, Here's How Much You'd Have Now - The Motley Fool","If You Invested $10,000 in Tesla for Its IPO in 2010, Here's How Much You'd Have Now  The Motley Fool","Wed, 14 Sep 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIyLzA5LzE0L2ludmVzdGVkLTEwMDAwLWluLXRlc2xhLWlwby1pbi0yMDEwLWhvdy1tdWNoLW5vdy_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",TSLA
