Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,Introducing Privacy Center - Meta,Introducing Privacy Center  Meta,"Fri, 07 Jan 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wMS9pbnRyb2R1Y2luZy1wcml2YWN5LWNlbnRlci_SAUFodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjIvMDEvaW50cm9kdWNpbmctcHJpdmFjeS1jZW50ZXIvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
1,1,"Facebook owner Meta will block access to Russia's RT, Sputnik in EU - Reuters","Facebook owner Meta will block access to Russia's RT, Sputnik in EU  Reuters","Mon, 28 Feb 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL21lZGlhLXRlbGVjb20vZmFjZWJvb2stb3duZXItbWV0YS13aWxsLWJsb2NrLWFjY2Vzcy1ydXNzaWFzLXJ0LXNwdXRuaWstZXUtMjAyMi0wMi0yOC_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}",META
2,2,How Facebook Is Morphing Into Meta - The New York Times,How Facebook Is Morphing Into Meta  The New York Times,"Tue, 01 Feb 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDEvMzEvdGVjaG5vbG9neS9mYWNlYm9vay1tZXRhLWNoYW5nZS5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}",META
3,3,"Apple, Meta And The $10 Billion Impact Of Privacy Changes - Forbes","Apple, Meta And The $10 Billion Impact Of Privacy Changes  Forbes","Thu, 10 Feb 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZGFuaWVsbmV3bWFuLzIwMjIvMDIvMTAvYXBwbGUtbWV0YS1hbmQtdGhlLXRlbi1iaWxsaW9uLWRvbGxhci1pbXBhY3Qtb2YtcHJpdmFjeS1jaGFuZ2VzL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",META
4,4,Meta Gifts $1.75 Million to UMD to Boost… - Maryland Today,Meta Gifts $1.75 Million to UMD to Boost…  Maryland Today,"Wed, 26 Jan 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vdG9kYXkudW1kLmVkdS9tZXRhLWdpZnRzLTEtNzUtbWlsbGlvbi10by11bWQtdG8tYm9vc3QtZW52aXJvbm1lbnRhbC1qdXN0aWNlLWFuZC1oZWFsdGgtZXF1aXR50gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://today.umd.edu', 'title': 'Maryland Today'}",META
5,5,Introducing a Personal Boundary for Horizon Worlds and Venues - Meta,Introducing a Personal Boundary for Horizon Worlds and Venues  Meta,"Fri, 04 Feb 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wMi9wZXJzb25hbC1ib3VuZGFyeS1ob3Jpem9uL9IBQGh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wMi9wZXJzb25hbC1ib3VuZGFyeS1ob3Jpem9uL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
6,6,Meta Stock Falls Over 20% After Metaverse Project Loses Over $10 Billion In 2021 - Forbes,Meta Stock Falls Over 20% After Metaverse Project Loses Over $10 Billion In 2021  Forbes,"Wed, 02 Feb 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvYWJyYW1icm93bi8yMDIyLzAyLzAyL21ldGEtc3RvY2stZHJvcHMtMjAtYWZ0ZXItZm91cnRoLXF1YXJ0ZXItcHJvZml0LWRyb3BwZWQtbW9yZS10aGFuLWV4cGVjdGVkL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",META
7,7,6 Reasons Meta Is in Trouble - The New York Times,6 Reasons Meta Is in Trouble  The New York Times,"Thu, 03 Feb 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDIvMDMvdGVjaG5vbG9neS9mYWNlYm9vay1tZXRhLWNoYWxsZW5nZXMuaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}",META
8,8,Tony Xu Joins Meta Board of Directors - Meta,Tony Xu Joins Meta Board of Directors  Meta,"Tue, 11 Jan 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wMS90b255LXh1LWpvaW5zLW1ldGEtYm9hcmQtb2YtZGlyZWN0b3JzL9IBTGh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wMS90b255LXh1LWpvaW5zLW1ldGEtYm9hcmQtb2YtZGlyZWN0b3JzL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
9,9,Updates to End-to-End Encrypted Chats on Messenger - Meta,Updates to End-to-End Encrypted Chats on Messenger  Meta,"Thu, 27 Jan 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wMS91cGRhdGVzLXRvLWVuZC10by1lbmQtZW5jcnlwdGVkLWNoYXRzLW1lc3Nlbmdlci_SAVZodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjIvMDEvdXBkYXRlcy10by1lbmQtdG8tZW5kLWVuY3J5cHRlZC1jaGF0cy1tZXNzZW5nZXIvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
10,10,Introducing Meta’s Next-Gen AI Supercomputer - Meta,Introducing Meta’s Next-Gen AI Supercomputer  Meta,"Mon, 24 Jan 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wMS9pbnRyb2R1Y2luZy1tZXRhcy1uZXh0LWdlbi1haS1zdXBlcmNvbXB1dGVyL9IBUmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wMS9pbnRyb2R1Y2luZy1tZXRhcy1uZXh0LWdlbi1haS1zdXBlcmNvbXB1dGVyL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
