Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,description,published date,url,publisher,company
0,0,0,Tesla stock has plummeted since Elon Musk took over Twitter. Here's why. - ABC News,Tesla stock has plummeted since Elon Musk took over Twitter. Here's why.  ABC News,"Sat, 24 Dec 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vYWJjbmV3cy5nby5jb20vQnVzaW5lc3MvdGVzbGEtc3RvY2stcGx1bW1ldGVkLWVsb24tbXVzay10d2l0dGVyL3N0b3J5P2lkPTk1NzU2NzMz0gFdaHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9hbXAvQnVzaW5lc3MvdGVzbGEtc3RvY2stcGx1bW1ldGVkLWVsb24tbXVzay10d2l0dGVyL3N0b3J5P2lkPTk1NzU2NzMz?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://abcnews.go.com', 'title': 'ABC News'}",TSLA
1,1,1,Tesla (TSLA) Q3 2022 Earnings Call Transcript - The Motley Fool,Tesla (TSLA) Q3 2022 Earnings Call Transcript  The Motley Fool,"Thu, 20 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMi8xMC8yMC90ZXNsYS10c2xhLXEzLTIwMjItZWFybmluZ3MtY2FsbC10cmFuc2NyaXB0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",TSLA
2,2,2,Tesla (TSLA) Q3 2022 Earnings: What to Expect - Nasdaq,Tesla (TSLA) Q3 2022 Earnings: What to Expect  Nasdaq,"Wed, 19 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvdGVzbGEtdHNsYS1xMy0yMDIyLWVhcm5pbmdzJTNBLXdoYXQtdG8tZXhwZWN00gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}",TSLA
3,3,3,Tesla Stock Has Never Been This Cheap — And It Could Still Drop Further - Bloomberg,Tesla Stock Has Never Been This Cheap — And It Could Still Drop Further  Bloomberg,"Tue, 13 Dec 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTEyLTEzL3Rlc2xhLXN0b2NrLWhhcy1uZXZlci1iZWVuLXRoaXMtY2hlYXAtY291bGQtc3RpbGwtZHJvcC1mdXJ0aGVy0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",TSLA
4,4,4,Tesla’s stock slide hasn’t made a skeptic out of ARK Invest - TESLARATI,Tesla’s stock slide hasn’t made a skeptic out of ARK Invest  TESLARATI,"Wed, 21 Dec 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LnRlc2xhcmF0aS5jb20vdGVzbGEtdHNsYS1zdG9jay1zbGlkZS1hcmstaW52ZXN0LW5vLXNrZXB0aWMv0gFLaHR0cHM6Ly93d3cudGVzbGFyYXRpLmNvbS90ZXNsYS10c2xhLXN0b2NrLXNsaWRlLWFyay1pbnZlc3Qtbm8tc2tlcHRpYy9hbXAv?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.teslarati.com', 'title': 'TESLARATI'}",TSLA
5,5,5,5 Unfilled Gaps In Tesla (TSLA)'s Chart - TheStreet,5 Unfilled Gaps In Tesla (TSLA)'s Chart  TheStreet,"Wed, 23 Nov 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vaW52ZXN0aW5nL3N0b2Nrcy81LXVuZmlsbGVkLWdhcHMtaW4tdGVzbGEtdHNsYS1zLWNoYXJ00gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",TSLA
6,6,6,"Elon Musk addresses Twitter takeover, possible recession on Tesla earnings call - CNBC","Elon Musk addresses Twitter takeover, possible recession on Tesla earnings call  CNBC","Wed, 19 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMTAvMTkvdGVzbGEtdHNsYS1lYXJuaW5ncy1xMy0yMDIyLS5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMTAvMTkvdGVzbGEtdHNsYS1lYXJuaW5ncy1xMy0yMDIyLS5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",TSLA
7,7,7,"TSLA Stock Ends Worst Year Ever; Tesla, BYD Q4 Deliveries Due - Investor's Business Daily","TSLA Stock Ends Worst Year Ever; Tesla, BYD Q4 Deliveries Due  Investor's Business Daily","Fri, 30 Dec 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZXNsYS1zdG9jay12cy1ieWQtc3RvY2stY29tcGFyaW5nLWV2LXN0b2Nrcy10c2xhLWJ5ZGRmL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}",TSLA
8,8,8,Is Tesla (TSLA) a Safe Investment Today? - Yahoo Finance,Is Tesla (TSLA) a Safe Investment Today?  Yahoo Finance,"Wed, 02 Nov 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90ZXNsYS10c2xhLXNhZmUtaW52ZXN0bWVudC10b2RheS0xNzE1MzQwMzQuaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",TSLA
9,9,9,Tesla (TSLA) to implement hiring freeze and new round of layoffs - Electrek.co,Tesla (TSLA) to implement hiring freeze and new round of layoffs  Electrek.co,"Wed, 21 Dec 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vZWxlY3RyZWsuY28vMjAyMi8xMi8yMS90ZXNsYS10c2xhLWhpcmluZy1mcmVlemUtbGF5b2Zmcy_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://electrek.co', 'title': 'Electrek.co'}",TSLA
10,10,10,Tesla Stock Price (TSLA): Value Cut in Half After Elon Musk Stake Sales - Bloomberg,Tesla Stock Price (TSLA): Value Cut in Half After Elon Musk Stake Sales  Bloomberg,"Wed, 09 Nov 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTExLTA5L3Rlc2xhLW1hcmtldC12YWx1ZS1oYWx2ZXMtaW4tYS15ZWFyLXJvY2tlZC1ieS1tdXNrLXN0YWtlLXNhbGVz0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",TSLA
