Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,Apple (AAPL) to Report Q1 Earnings: What's in the Offing? - Yahoo Finance,Apple (AAPL) to Report Q1 Earnings: What's in the Offing?  Yahoo Finance,"Fri, 22 Jan 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1hYXBsLXJlcG9ydC1xMS1lYXJuaW5ncy0xNDUzMDIwNzQuaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AAPL
1,1,How to Trade Apple (AAPL) in the First Half of 2021 - Investopedia,How to Trade Apple (AAPL) in the First Half of 2021  Investopedia,"Thu, 07 Jan 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vaG93LXRvLXRyYWRlLWFwcGxlLWluLXRoZS1maXJzdC1oYWxmLW9mLTIwMjEtNTA5NDYzNtIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",AAPL
2,2,"What Facebook (FB), Twitter (TWTR), Apple (AAPL), Robinhood Have in Common - Bloomberg","What Facebook (FB), Twitter (TWTR), Apple (AAPL), Robinhood Have in Common  Bloomberg","Mon, 08 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIxLTAyLTA4L3doYXQtZmFjZWJvb2stZmItdHdpdHRlci10d3RyLWFwcGxlLWFhcGwtcm9iaW5ob29kLWhhdmUtaW4tY29tbW9u0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
3,3,AAPL After Hours: Share Price Slides On Tech Weakness - TheStreet,AAPL After Hours: Share Price Slides On Tech Weakness  TheStreet,"Wed, 24 Mar 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svYWFwbC1hZnRlci1ob3Vycy1zbGlkZS10ZWNoLXdlYWtuZXNz0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL
4,4,"Apple reports blowout quarter, booking more than $100 billion in revenue for the first time - CNBC","Apple reports blowout quarter, booking more than $100 billion in revenue for the first time  CNBC","Wed, 27 Jan 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjEvMDEvMjcvYXBwbGUtYWFwbC1lYXJuaW5ncy1xMS0yMDIxLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMS8wMS8yNy9hcHBsZS1hYXBsLWVhcm5pbmdzLXExLTIwMjEuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",AAPL
5,5,AAPL: Why Apple Stock Will Continue to Outperform in 2021 - StockNews.com,AAPL: Why Apple Stock Will Continue to Outperform in 2021  StockNews.com,"Wed, 06 Jan 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vc3RvY2tuZXdzLmNvbS9uZXdzL2FhcGwtZGVsbC1ocHEtcGhnLXdoeS1hcHBsZS1zdG9jay13aWxsLWNvbnRpbnVlLXRvLW91dHBlcmZvcm0taW4tMjAyMS_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://stocknews.com', 'title': 'StockNews.com'}",AAPL
6,6,Apple (AAPL) Q1 2021 Earnings Call Transcript - The Motley Fool,Apple (AAPL) Q1 2021 Earnings Call Transcript  The Motley Fool,"Thu, 28 Jan 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMS8wMS8yOC9hcHBsZS1hYXBsLXExLTIwMjEtZWFybmluZ3MtY2FsbC10cmFuc2NyaXB0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",AAPL
7,7,Apple reportedly plans iPhone production cuts but analyst says recent stock selloff is a 'golden buying opportunity' - MarketWatch,Apple reportedly plans iPhone production cuts but analyst says recent stock selloff is a 'golden buying opportunity'  MarketWatch,"Wed, 10 Mar 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMioAFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvYXBwbGUtcmVwb3J0ZWRseS1wbGFucy1pcGhvbmUtcHJvZHVjdGlvbi1jdXRzLWJ1dC1hbmFseXN0LXNheXMtcmVjZW50LXN0b2NrLXNlbGxvZmYtaXMtYS1nb2xkZW4tYnV5aW5nLW9wcG9ydHVuaXR5LTExNjE1Mzg4NDg50gGkAWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvYXBwbGUtcmVwb3J0ZWRseS1wbGFucy1pcGhvbmUtcHJvZHVjdGlvbi1jdXRzLWJ1dC1hbmFseXN0LXNheXMtcmVjZW50LXN0b2NrLXNlbGxvZmYtaXMtYS1nb2xkZW4tYnV5aW5nLW9wcG9ydHVuaXR5LTExNjE1Mzg4NDg5?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.marketwatch.com', 'title': 'MarketWatch'}",AAPL
8,8,Apple Car (AAPL) Likely To Be Manufactured in Collaboration With Hyundai – the Korean Giant Removes Any Reference To Apple Following a Spectacular Surge in Its Stock Price - Wccftech,Apple Car (AAPL) Likely To Be Manufactured in Collaboration With Hyundai – the Korean Giant Removes Any Reference To Apple Following a Spectacular Surge in Its Stock Price  Wccftech,"Fri, 08 Jan 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMivQFodHRwczovL3djY2Z0ZWNoLmNvbS9hcHBsZS1jYXItYWFwbC1saWtlbHktdG8tYmUtbWFudWZhY3R1cmVkLWluLWNvbGxhYm9yYXRpb24td2l0aC1oeXVuZGFpLXRoZS1rb3JlYW4tZ2lhbnQtcmVtb3Zlcy1hbnktcmVmZXJlbmNlLXRvLWFwcGxlLWZvbGxvd2luZy1hLXNwZWN0YWN1bGFyLXN1cmdlLWluLWl0cy1zdG9jay1wcmljZS_SAcEBaHR0cHM6Ly93Y2NmdGVjaC5jb20vYXBwbGUtY2FyLWFhcGwtbGlrZWx5LXRvLWJlLW1hbnVmYWN0dXJlZC1pbi1jb2xsYWJvcmF0aW9uLXdpdGgtaHl1bmRhaS10aGUta29yZWFuLWdpYW50LXJlbW92ZXMtYW55LXJlZmVyZW5jZS10by1hcHBsZS1mb2xsb3dpbmctYS1zcGVjdGFjdWxhci1zdXJnZS1pbi1pdHMtc3RvY2stcHJpY2UvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://wccftech.com', 'title': 'Wccftech'}",AAPL
9,9,Apple Stock Roars Back To Life On Wall Street Upgrade - TheStreet,Apple Stock Roars Back To Life On Wall Street Upgrade  TheStreet,"Thu, 01 Apr 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvbmV3cy9hcHBsZS1zdG9jay1yb2Fycy1iYWNrLXRvLWxpZmUtb24td2FsbC1zdHJlZXQtdXBncmFkZdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL
