Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,Microsoft (MSFT) Board Approves $60B Share Repurchase Program - Investopedia,Microsoft (MSFT) Board Approves $60B Share Repurchase Program  Investopedia,"Thu, 16 Sep 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vbWljcm9zb2Z0LW1zZnQtYm9hcmQtYXBwcm92ZXMtdXNkNjBiLXNoYXJlLXJlcHVyY2hhc2UtcHJvZ3JhbS01MjAxNTA50gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",MSFT
1,1,Microsoft posts big earnings beat and gives optimistic revenue forecast - CNBC,Microsoft posts big earnings beat and gives optimistic revenue forecast  CNBC,"Tue, 27 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjEvMDcvMjcvbWljcm9zb2Z0LW1zZnQtZWFybmluZ3MtcTQtMjAyMS5odG1s0gFIaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjEvMDcvMjcvbWljcm9zb2Z0LW1zZnQtZWFybmluZ3MtcTQtMjAyMS5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",MSFT
2,2,Microsoft tops $60 billion in annual earnings for the first time to cap record-breaking year - MarketWatch,Microsoft tops $60 billion in annual earnings for the first time to cap record-breaking year  MarketWatch,"Tue, 27 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMikQFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvbWljcm9zb2Z0LXRvcHMtNjAtYmlsbGlvbi1pbi1hbm51YWwtZWFybmluZ3MtZm9yLXRoZS1maXJzdC10aW1lLXRvLWNhcC1hbm90aGVyLXJlY29yZC1icmVha2luZy15ZWFyLTExNjI3NDE2NjUz0gGVAWh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvbWljcm9zb2Z0LXRvcHMtNjAtYmlsbGlvbi1pbi1hbm51YWwtZWFybmluZ3MtZm9yLXRoZS1maXJzdC10aW1lLXRvLWNhcC1hbm90aGVyLXJlY29yZC1icmVha2luZy15ZWFyLTExNjI3NDE2NjUz?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.marketwatch.com', 'title': 'MarketWatch'}",MSFT
3,3,Microsoft Q2 earnings: Can MSFT meet the market's sky-high expectations? - FOREX.com,Microsoft Q2 earnings: Can MSFT meet the market's sky-high expectations?  FOREX.com,"Fri, 23 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmZvcmV4LmNvbS9lbi9uZXdzLWFuZC1hbmFseXNpcy9taWNyb3NvZnQtcTItZWFybmluZ3MtY2FuLW1zZnQtbWVldC10aGUtbWFya2V0cy1za3loaWdoLWV4cGVjdGF0aW9ucy_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forex.com', 'title': 'FOREX.com'}",MSFT
4,4,GOP Rep. on cyber committee dumped MSFT stock shortly before $10B Pentagon contract was scrapped - Salon,GOP Rep. on cyber committee dumped MSFT stock shortly before $10B Pentagon contract was scrapped  Salon,"Wed, 14 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5zYWxvbi5jb20vMjAyMS8wNy8xNC9nb3AtcmVwLW9uLWN5YmVyLWNvbW1pdHRlZS1kdW1wZWQtbXNmdC1zdG9jay1zaG9ydGx5LWJlZm9yZS0xMGItcGVudGFnb24tY29udHJhY3Qtd2FzLXNjcmFwcGVkL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.salon.com', 'title': 'Salon'}",MSFT
5,5,Generating Extra Yield From Microsoft Stock With Covered Calls - Investor's Business Daily,Generating Extra Yield From Microsoft Stock With Covered Calls  Investor's Business Daily,"Wed, 28 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vcmVzZWFyY2gvb3B0aW9ucy9taWNyb3NvZnQtc3RvY2stY292ZXJlZC1jYWxscy1nZW5lcmF0aW5nLWV4dHJhLXlpZWxkL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}",MSFT
6,6,Cerebras Systems Lays The Foundation For Huge Artificial Intelligence - Forbes,Cerebras Systems Lays The Foundation For Huge Artificial Intelligence  Forbes,"Tue, 24 Aug 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMva2FybGZyZXVuZC8yMDIxLzA4LzI0L2NlcmVicmFzLXN5c3RlbXMtbGF5cy10aGUtZm91bmRhdGlvbi1mb3ItaHVnZS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",MSFT
7,7,This Day In Market History: The Netscape IPO - Microsoft (NASDAQ:MSFT) - Benzinga,This Day In Market History: The Netscape IPO - Microsoft (NASDAQ:MSFT)  Benzinga,"Mon, 09 Aug 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9nZW5lcmFsL2VkdWNhdGlvbi8yMS8wOC8xMjE3NDU5OC90aGlzLWRheS1pbi1tYXJrZXQtaGlzdG9yeS10aGUtbmV0c2NhcGUtaXBv0gEtaHR0cHM6Ly93d3cuYmVuemluZ2EuY29tL2FtcC9jb250ZW50LzEyMTc0NTk4?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.benzinga.com', 'title': 'Benzinga'}",MSFT
8,8,Microsoft (MSFT) Set to Release Windows 11 - Investopedia,Microsoft (MSFT) Set to Release Windows 11  Investopedia,"Tue, 31 Aug 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vbWljcm9zb2Z0LW1zZnQtc2V0LXRvLXJlbGVhc2Utd2luZG93cy0xMS01MTk5NTE10gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",MSFT
9,9,Microsoft (MSFT) Q4 2021 earnings results highlighted by 172% Xbox hardware sales growth - Shacknews,Microsoft (MSFT) Q4 2021 earnings results highlighted by 172% Xbox hardware sales growth  Shacknews,"Tue, 27 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnNoYWNrbmV3cy5jb20vYXJ0aWNsZS8xMjU4MjAvbWljcm9zb2Z0LW1zZnQtcTQtMjAyMS1lYXJuaW5ncy1yZXN1bHRzLWhpZ2hsaWdodGVkLWJ5LTE3Mi14Ym94LWhhcmR3YXJlLXNhbGVzLWdyb3d0aNIBiAFodHRwczovL3d3dy5zaGFja25ld3MuY29tL2FydGljbGUvMTI1ODIwL21pY3Jvc29mdC1tc2Z0LXE0LTIwMjEtZWFybmluZ3MtcmVzdWx0cy1oaWdobGlnaHRlZC1ieS0xNzIteGJveC1oYXJkd2FyZS1zYWxlcy1ncm93dGg_YW1waHRtbD0x?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.shacknews.com', 'title': 'Shacknews'}",MSFT
