Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,description,published date,url,publisher,company
0,0,0,"Tesla reports more than $1 billion in net income during Q2, up tenfold from a year ago - CNBC","Tesla reports more than $1 billion in net income during Q2, up tenfold from a year ago  CNBC","Mon, 26 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjEvMDcvMjYvdGVzbGEtdHNsYS1lYXJuaW5ncy1xMi0yMDIxLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMS8wNy8yNi90ZXNsYS10c2xhLWVhcm5pbmdzLXEyLTIwMjEuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",TSLA
1,1,1,Tesla (TSLA) to Expand 'Full Self-Driving Capability' Beta - Investopedia,Tesla (TSLA) to Expand 'Full Self-Driving Capability' Beta  Investopedia,"Tue, 21 Sep 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtdHNsYS10by1leHBhbmQtZnVsbC1zZWxmLWRyaXZpbmctY2FwYWJpbGl0eS1iZXRhLTUyMDIxNjHSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",TSLA
2,2,2,Elon Musk says Tesla (TSLA) is worth $3000 a share 'if they execute really well' - Electrek.co,Elon Musk says Tesla (TSLA) is worth $3000 a share 'if they execute really well'  Electrek.co,"Sat, 04 Sep 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vZWxlY3RyZWsuY28vMjAyMS8wOS8wNC9lbG9uLW11c2stdGVzbGEtdHNsYS13b3J0aC0zMDAwLXNoYXJlL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://electrek.co', 'title': 'Electrek.co'}",TSLA
3,3,3,Tesla's 'noisy quarter' gets mixed reviews from Wall Street - MarketWatch,Tesla's 'noisy quarter' gets mixed reviews from Wall Street  MarketWatch,"Tue, 27 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9zdG9yeS90ZXNsYXMtbm9pc3ktcXVhcnRlci1nZXRzLW1peGVkLXJldmlld3MtZnJvbS13YWxsLXN0cmVldC0xMTYyNzQwNDA2NNIBamh0dHBzOi8vd3d3Lm1hcmtldHdhdGNoLmNvbS9hbXAvc3RvcnkvdGVzbGFzLW5vaXN5LXF1YXJ0ZXItZ2V0cy1taXhlZC1yZXZpZXdzLWZyb20td2FsbC1zdHJlZXQtMTE2Mjc0MDQwNjQ?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.marketwatch.com', 'title': 'MarketWatch'}",TSLA
4,4,4,Tesla Announces Q2 Earnings Date - Tesla Daily - TheStreet,Tesla Announces Q2 Earnings Date - Tesla Daily  TheStreet,"Mon, 12 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vdGVzbGEvbmV3cy90ZXNsYS1hbm5vdW5jZXMtcTItZWFybmluZ3MtZGF0ZdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",TSLA
5,5,5,"Fake Tesla, Apple Stocks Have Started Trading on Blockchains - Bloomberg","Fake Tesla, Apple Stocks Have Started Trading on Blockchains  Bloomberg","Tue, 06 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIxLTA3LTA2L2Zha2UtdGVzbGEtYXBwbGUtc3RvY2tzLWhhdmUtc3RhcnRlZC10cmFkaW5nLW9uLWJsb2NrY2hhaW5z0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",TSLA
6,6,6,Tesla (TSLA) Q2 2021 Earnings Call Transcript - The Motley Fool,Tesla (TSLA) Q2 2021 Earnings Call Transcript  The Motley Fool,"Tue, 27 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMS8wNy8yNy90ZXNsYS10c2xhLXEyLTIwMjEtZWFybmluZ3MtY2FsbC10cmFuc2NyaXB0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",TSLA
7,7,7,Tesla (TSLA) Just Overtook the 200-Day Moving Average - Yahoo Finance,Tesla (TSLA) Just Overtook the 200-Day Moving Average  Yahoo Finance,"Thu, 19 Aug 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90ZXNsYS10c2xhLWp1c3Qtb3ZlcnRvb2stMjAwLTE0MDAwMjIwOS5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",TSLA
8,8,8,Tesla (TSLA) Earnings: Q2 profit beats estimates on 98% revenue growth; stock gains - AlphaStreet,Tesla (TSLA) Earnings: Q2 profit beats estimates on 98% revenue growth; stock gains  AlphaStreet,"Mon, 26 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vbmV3cy5hbHBoYXN0cmVldC5jb20vdGVzbGEtdHNsYS1lYXJuaW5ncy1xMi1wcm9maXQtYmVhdHMtZXN0aW1hdGVzLW9uLTk4LXJldmVudWUtZ3Jvd3RoLXN0b2NrLWdhaW5zL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://news.alphastreet.com', 'title': 'AlphaStreet'}",TSLA
9,9,9,TSLA Rebrands Design Practice as Anak | LBBOnline - Little Black Book,TSLA Rebrands Design Practice as Anak | LBBOnline  Little Black Book,"Thu, 16 Sep 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vbGJib25saW5lLmNvbS9uZXdzL3RzbGEtcmVicmFuZHMtZGVzaWduLXByYWN0aWNlLWFzLWFuYWvSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://lbbonline.com', 'title': 'Little Black Book'}",TSLA
10,10,10,Tesla (TSLA) Stock Falls After NHTSA Announces Autopilot Investigation - Investopedia,Tesla (TSLA) Stock Falls After NHTSA Announces Autopilot Investigation  Investopedia,"Tue, 17 Aug 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtdHNsYS1zdG9jay1mYWxscy1vbi1uaHRzYS1hdXRvcGlsb3QtaW52ZXN0aWdhdGlvbi01MTk3Nzgw0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",TSLA
11,11,11,Tesla (TSLA) sells back Maxwell Technology's ultracapacitor business to former executives - Electrek.co,Tesla (TSLA) sells back Maxwell Technology's ultracapacitor business to former executives  Electrek.co,"Wed, 21 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vZWxlY3RyZWsuY28vMjAyMS8wNy8yMS90ZXNsYS10c2xhLXNlbGxzLWJhY2stbWF4d2VsbC10ZWNobm9sb2d5LXVsdHJhY2FwYWNpdG9yLWJ1c2luZXNzLXRvLWZvcm1lci1leGVjdXRpdmVzL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://electrek.co', 'title': 'Electrek.co'}",TSLA
12,12,12,"Tesla (TSLA) Plans for Future, Makes Changes to Business - Investopedia","Tesla (TSLA) Plans for Future, Makes Changes to Business  Investopedia","Fri, 30 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtdHNsYS1wbGFucy1mb3ItZnV0dXJlLW1ha2VzLWNoYW5nZXMtdG8tYnVzaW5lc3MtNTE5NDk4NNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",TSLA
13,13,13,Tesla (TSLA) Delays Cybertruck to 2022 - Investopedia,Tesla (TSLA) Delays Cybertruck to 2022  Investopedia,"Tue, 10 Aug 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtdHNsYS1kZWxheXMtY3liZXJ0cnVjay10by0yMDIyLTUxOTY3NjPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",TSLA
14,14,14,Tesla Earnings: What to Look for from TSLA - Investopedia,Tesla Earnings: What to Look for from TSLA  Investopedia,"Mon, 26 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtcTItZnkyMDIxLWVhcm5pbmdzLXJlcG9ydC1wcmV2aWV3LTUxOTM2NjjSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",TSLA
15,15,15,Tesla (TSLA) Delays Second Generation Roadster Launch - Investopedia,Tesla (TSLA) Delays Second Generation Roadster Launch  Investopedia,"Fri, 03 Sep 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vdGVzbGEtdHNsYS1kZWxheXMtc2Vjb25kLWdlbmVyYXRpb24tcm9hZHN0ZXItbGF1bmNoLTUyMDAyODTSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",TSLA
16,16,16,Why Tesla (TSLA) Will Benefit From Biden's Executive Order on EVs - Investopedia,Why Tesla (TSLA) Will Benefit From Biden's Executive Order on EVs  Investopedia,"Mon, 09 Aug 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vd2h5LXRlc2xhLXRzbGEtd2lsbC1iZW5lZml0LWZyb20tZXYtZXhlY3V0aXZlLW9yZGVyLTUxOTY0NzPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",TSLA
17,17,17,Tesla Stock Price and Forecast: Why Tesla jumped over 4.50% on Elon Musk’s tweet? - FXStreet,Tesla Stock Price and Forecast: Why Tesla jumped over 4.50% on Elon Musk’s tweet?  FXStreet,"Fri, 30 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmZ4c3RyZWV0LmNvbS9uZXdzL3Rlc2xhLXRzbGEtc3RvY2stcHJpY2UtYW5kLWZvcmVjYXN0LXdoYXQtdGVzbGEtbmVlZHMtdG8tZG8tdG8tZ2V0LW1vdmluZy1hZ2Fpbi0yMDIxMDcyOTExMzjSAX1odHRwczovL3d3dy5meHN0cmVldC5jb20vYW1wL25ld3MvdGVzbGEtdHNsYS1zdG9jay1wcmljZS1hbmQtZm9yZWNhc3Qtd2hhdC10ZXNsYS1uZWVkcy10by1kby10by1nZXQtbW92aW5nLWFnYWluLTIwMjEwNzI5MTEzOA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fxstreet.com', 'title': 'FXStreet'}",TSLA
18,18,18,Self-proclaimed 'Elon Musk fanboy' builds Tesla (TSLA) position worth over $4.6 billion - Electrek.co,Self-proclaimed 'Elon Musk fanboy' builds Tesla (TSLA) position worth over $4.6 billion  Electrek.co,"Thu, 23 Sep 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vZWxlY3RyZWsuY28vMjAyMS8wOS8yMy9lbG9uLW11c2stZmFuYm95LWJ1aWxkcy10ZXNsYS10c2xhLXBvc2l0aW9uLXdvcnRoLW92ZXItNC1iaWxsaW9uL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://electrek.co', 'title': 'Electrek.co'}",TSLA
19,19,19,Tesla (TSLA) Earnings: What the blockbuster Q2 results mean for EV giant - AlphaStreet,Tesla (TSLA) Earnings: What the blockbuster Q2 results mean for EV giant  AlphaStreet,"Tue, 27 Jul 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vbmV3cy5hbHBoYXN0cmVldC5jb20vdGVzbGEtdHNsYS1lYXJuaW5ncy13aGF0LXRoZS1ibG9ja2J1c3Rlci1xMi1yZXN1bHRzLW1lYW4tZm9yLWV2LWdpYW50L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://news.alphastreet.com', 'title': 'AlphaStreet'}",TSLA
20,20,20,Tesla (TSLA) discontinues its solar subscription service - Electrek,Tesla (TSLA) discontinues its solar subscription service  Electrek,"Fri, 10 Sep 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vZWxlY3RyZWsuY28vMjAyMS8wOS8xMC90ZXNsYS10c2xhLWRpc2NvbnRpbnVlcy1zb2xhci1zdWJzY3JpcHRpb24tc2VydmljZS_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://electrek.co', 'title': 'Electrek'}",TSLA
21,21,21,Tesla bull and ARK CEO Cathie Wood names her price to sell $TSLA holdings - TESLARATI,Tesla bull and ARK CEO Cathie Wood names her price to sell $TSLA holdings  TESLARATI,"Thu, 23 Sep 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LnRlc2xhcmF0aS5jb20vdGVzbGEtYnVsbC1hcmstY2VvLW5hbWVzLXByaWNlLXRvLXNlbGwtdHNsYS1ob2xkaW5ncy_SAVNodHRwczovL3d3dy50ZXNsYXJhdGkuY29tL3Rlc2xhLWJ1bGwtYXJrLWNlby1uYW1lcy1wcmljZS10by1zZWxsLXRzbGEtaG9sZGluZ3MvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.teslarati.com', 'title': 'TESLARATI'}",TSLA
