Unnamed: 0,Unnamed: 0.1,company,title,description,published date,url,publisher,Unnamed: 0.1.1
10,10,AMZN,What Makes Amazon.com (AMZN) an Attractive Investment? - Yahoo Finance,What Makes Amazon.com (AMZN) an Attractive Investment?  Yahoo Finance,"Mon, 15 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9tYWtlcy1hbWF6b24tY29tLWFtem4tYXR0cmFjdGl2ZS0wODM2NTM1MDUuaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",
11,11,AMZN,Amazon Plans to Add ChatGPT-Style Search to Its Online Store - Bloomberg,Amazon Plans to Add ChatGPT-Style Search to Its Online Store  Bloomberg,"Mon, 15 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTE1L2FtYXpvbi1wbGFucy10by1hZGQtY2hhdGdwdC1zdHlsZS1zZWFyY2gtdG8taXRzLW9ubGluZS1zdG9yZdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",
12,12,AMZN,"20 Best Books of 2023 So Far, According to Amazon Editors - About Amazon","20 Best Books of 2023 So Far, According to Amazon Editors  About Amazon","Wed, 14 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL2Jvb2tzLWFuZC1hdXRob3JzL2FtYXpvbi1iZXN0LWJvb2tzLTIwMjPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",
13,13,AMZN,"Is It Time To Consider Buying Amazon.com, Inc. (NASDAQ:AMZN)? - Yahoo Finance","Is It Time To Consider Buying Amazon.com, Inc. (NASDAQ:AMZN)?  Yahoo Finance","Mon, 12 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy90aW1lLWNvbnNpZGVyLWJ1eWluZy1hbWF6b24tY29tLTExMDAzMDM3MC5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",
14,14,AMZN,"8 highlights from Amazon's 2023 NewFront: TNF, Prime Video, Freevee - About Amazon","8 highlights from Amazon's 2023 NewFront: TNF, Prime Video, Freevee  About Amazon","Mon, 01 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL2NvbXBhbnktbmV3cy9hbWF6b24tbmV3ZnJvbnQtMjAyMy1hbm5vdW5jZW1lbnRz0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",
15,15,AMZN,Amazon partners with Mason and NOVA for workforce development - George Mason University,Amazon partners with Mason and NOVA for workforce development  George Mason University,"Wed, 24 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmdtdS5lZHUvbmV3cy8yMDIzLTA1L2FtYXpvbi1wYXJ0bmVycy1tYXNvbi1hbmQtbm92YS13b3JrZm9yY2UtZGV2ZWxvcG1lbnTSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.gmu.edu', 'title': 'George Mason University'}",
16,16,AMZN,Amazon Stock (NASDAQ:AMZN) Maintains Upward Trend; Analysts Stay Bullish - Markets Insider,Amazon Stock (NASDAQ:AMZN) Maintains Upward Trend; Analysts Stay Bullish  Markets Insider,"Thu, 22 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMigAFodHRwczovL21hcmtldHMuYnVzaW5lc3NpbnNpZGVyLmNvbS9uZXdzL3N0b2Nrcy9hbWF6b24tc3RvY2stbmFzZGFxLWFtem4tbWFpbnRhaW5zLXVwd2FyZC10cmVuZC1hbmFseXN0cy1zdGF5LWJ1bGxpc2gtMTAzMjQwNTA3NdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://markets.businessinsider.com', 'title': 'Markets Insider'}",
17,17,AMZN,Amazon: No Wireless Plans 'At This Time'; Telecom Stocks Close Down - Investor's Business Daily,Amazon: No Wireless Plans 'At This Time'; Telecom Stocks Close Down  Investor's Business Daily,"Sun, 04 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2Ftem4tc3RvY2stcG9zc2libGUtYW1hem9uLWVudHJ5LWludG8td2lyZWxlc3Mtc2VydmljZXMtc2VuZHMtdGVsZWNvbS1zdG9ja3MtZG93bi_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}",
18,18,AMZN,Paying Up to Save the Amazon May Be Cheaper than the Alternative - The University of Chicago Booth School of Business,Paying Up to Save the Amazon May Be Cheaper than the Alternative  The University of Chicago Booth School of Business,"Fri, 16 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmNoaWNhZ29ib290aC5lZHUvcmV2aWV3L3BheWluZy11cC1zYXZlLWFtYXpvbi1tYXktYmUtY2hlYXBlci10aGFuLWFsdGVybmF0aXZl0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.chicagobooth.edu', 'title': 'The University of Chicago Booth School of Business'}",
19,19,AMZN,"Photos: Exclusive first look inside Amazon HQ2 in Arlington, VA - About Amazon","Photos: Exclusive first look inside Amazon HQ2 in Arlington, VA  About Amazon","Sun, 21 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL2FtYXpvbi1vZmZpY2VzL2FtYXpvbi1oZWFkcXVhcnRlcnMtaHEyLWFybGluZ3Rvbi12aXJnaW5pYS1waG90b3PSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",
