Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company,Unnamed: 0.1.1
0,0,Apple (AAPL) Stock Gets Another Price Target on Virtual Reality New Products - Bloomberg,Apple (AAPL) Stock Gets Another Price Target on Virtual Reality New Products  Bloomberg,"Tue, 07 Dec 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIxLTEyLTA3L2FwcGxlLWdldHMtYW5vdGhlci1zdHJlZXQtaGlnaC10YXJnZXQtb24tdmlydHVhbC1yZWFsaXR5LWJvb3N00gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL,
1,1,Will Warren Buffett's Conglomerate Trim Its AAPL Position? - TheStreet,Will Warren Buffett's Conglomerate Trim Its AAPL Position?  TheStreet,"Wed, 15 Dec 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svd2lsbC13YXJyZW4tYnVmZmV0dHMtY29uZ2xvbWVyYXRlLXRyaW0taXRzLWFhcGwtcG9zaXRpb27SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL,
2,2,Apple (AAPL) Q4 2021 Earnings Call Transcript - The Motley Fool,Apple (AAPL) Q4 2021 Earnings Call Transcript  The Motley Fool,"Fri, 29 Oct 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMS8xMC8yOS9hcHBsZS1hYXBsLXE0LTIwMjEtZWFybmluZ3MtY2FsbC10cmFuc2NyaXB0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",AAPL,
3,3,"Apple sales miss expectations, Tim Cook says supply issues cost company $6 billion - CNBC","Apple sales miss expectations, Tim Cook says supply issues cost company $6 billion  CNBC","Thu, 28 Oct 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjEvMTAvMjgvYXBwbGUtYWFwbC1xNC0yMDIxLWVhcm5pbmdzLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMS8xMC8yOC9hcHBsZS1hYXBsLXE0LTIwMjEtZWFybmluZ3MuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",AAPL,
4,4,Apple Stock Price and Forecast: AAPL drops on production cut fears - FXStreet,Apple Stock Price and Forecast: AAPL drops on production cut fears  FXStreet,"Thu, 14 Oct 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmZ4c3RyZWV0LmNvbS9uZXdzL2FwcGxlLXN0b2NrLXByaWNlLWFuZC1mb3JlY2FzdC1hYXBsLWRyb3BzLW9uLXByb2R1Y3Rpb24tY3V0LWZlYXJzLTIwMjExMDE0MTA0NtIBcGh0dHBzOi8vd3d3LmZ4c3RyZWV0LmNvbS9hbXAvbmV3cy9hcHBsZS1zdG9jay1wcmljZS1hbmQtZm9yZWNhc3QtYWFwbC1kcm9wcy1vbi1wcm9kdWN0aW9uLWN1dC1mZWFycy0yMDIxMTAxNDEwNDY?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fxstreet.com', 'title': 'FXStreet'}",AAPL,
5,5,Apple Earnings: What to Look for from AAPL - Investopedia,Apple Earnings: What to Look for from AAPL  Investopedia,"Wed, 27 Oct 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vYXBwbGUtcTQtZnkyMDIxLWVhcm5pbmdzLXJlcG9ydC1wcmV2aWV3LTUyMDcxOTLSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",AAPL,
6,6,Apple (NASDAQ:AAPL) Is Investing Its Capital With Increasing Efficiency - Yahoo Finance,Apple (NASDAQ:AAPL) Is Investing Its Capital With Increasing Efficiency  Yahoo Finance,"Tue, 16 Nov 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1uYXNkYXEtYWFwbC1pbnZlc3RpbmctY2FwaXRhbC0wOTE1MjA0ODcuaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AAPL,
7,7,Apple Stock: Here Is The Path To All-Time Highs - TheStreet,Apple Stock: Here Is The Path To All-Time Highs  TheStreet,"Mon, 08 Nov 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svYXBwbGUtc3RvY2staGVyZS1pcy10aGUtcGF0aC10by1hbGwtdGltZS1oaWdoc9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL,
8,8,Apple (AAPL) Delays Return to Office Until 'Date Yet to Be Determined' - Bloomberg,Apple (AAPL) Delays Return to Office Until 'Date Yet to Be Determined'  Bloomberg,"Wed, 15 Dec 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIxLTEyLTE1L2FwcGxlLWRlbGF5cy1yZXR1cm4tdG8tb2ZmaWNlLXVudGlsLWRhdGUteWV0LXRvLWJlLWRldGVybWluZWTSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL,
9,9,Apple (AAPL) Stock Forecast: Why is Apple forecasting $200 now? - FXStreet,Apple (AAPL) Stock Forecast: Why is Apple forecasting $200 now?  FXStreet,"Mon, 22 Nov 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmZ4c3RyZWV0LmNvbS9uZXdzL2FwcGxlLWFhcGwtc3RvY2stZm9yZWNhc3Qtd2h5LWlzLWFwcGxlLWZvcmVjYXN0aW5nLTIwMC1ub3ctMjAyMTExMjIxMTQ40gFpaHR0cHM6Ly93d3cuZnhzdHJlZXQuY29tL2FtcC9uZXdzL2FwcGxlLWFhcGwtc3RvY2stZm9yZWNhc3Qtd2h5LWlzLWFwcGxlLWZvcmVjYXN0aW5nLTIwMC1ub3ctMjAyMTExMjIxMTQ4?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fxstreet.com', 'title': 'FXStreet'}",AAPL,
10,10,Apple Stock: It Could Make Sense To Trim The Position - TheStreet,Apple Stock: It Could Make Sense To Trim The Position  TheStreet,"Mon, 13 Dec 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svYXBwbGUtc3RvY2staXQtY291bGQtbWFrZS1zZW5zZS10by10cmltLXRoZS1wb3NpdGlvbtIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL,
11,11,Most-Valuable Listed Company: Microsoft (MSFT) Trails Closer to Apple (AAPL) - Bloomberg,Most-Valuable Listed Company: Microsoft (MSFT) Trails Closer to Apple (AAPL)  Bloomberg,"Wed, 27 Oct 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIxLTEwLTI3L21pY3Jvc29mdC1jbG9zZXMtb24tYXBwbGUtaW4tcmFjZS1mb3Itd29ybGQtcy1tb3N0LXZhbHVhYmxlLWZpcm3SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL,
12,12,“Most Overpriced Tech Stock”: Is Dan Niles Right About AAPL? - TheStreet,“Most Overpriced Tech Stock”: Is Dan Niles Right About AAPL?  TheStreet,"Mon, 08 Nov 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvbmV3cy9tb3N0LW92ZXJwcmljZWQtdGVjaC1zdG9jay1pcy1kYW4tbmlsZXMtcmlnaHQtYWJvdXQtYWFwbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL,
13,13,World's Most Valuable Stock: Microsoft (MSFT) to Overtake Apple (AAPL) - Bloomberg,World's Most Valuable Stock: Microsoft (MSFT) to Overtake Apple (AAPL)  Bloomberg,"Fri, 29 Oct 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIxLTEwLTI5L21pY3Jvc29mdC1zZXQtdG8tYmUtd29ybGQtcy1tb3N0LXZhbHVhYmxlLXN0b2NrLWFzLWFwcGxlLXNsaWRlc9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL,
14,14,"On The Winter Solstice, AAPL Investors Hope The Darker Days Are Over - TheStreet","On The Winter Solstice, AAPL Investors Hope The Darker Days Are Over  TheStreet","Tue, 21 Dec 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svb24tdGhlLXdpbnRlci1zb2xzdGljZS1hYXBsLWludmVzdG9ycy1ob3BlLXRoZS1kYXJrZXItZGF5cy1hcmUtb3ZlctIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL,
15,15,Apple Car Drives AAPL To All-Time High And Most Valuable Stock - TheStreet,Apple Car Drives AAPL To All-Time High And Most Valuable Stock  TheStreet,"Fri, 19 Nov 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvbmV3cy9hcHBsZS1jYXItZHJpdmVzLWFhcGwtdG8tYWxsLXRpbWUtaGlnaC1hbmQtbW9zdC12YWx1YWJsZS1zdG9ja9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL,
16,16,Can Apple Stock Climb Another 45%? What History Says - TheStreet,Can Apple Stock Climb Another 45%? What History Says  TheStreet,"Fri, 10 Dec 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svY2FuLWFwcGxlLXN0b2NrLWNsaW1iLWFub3RoZXItNDUtd2hhdC1oaXN0b3J5LXNheXPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL,
17,17,AAPL Stock Sets New All-Time High Following Latest Apple Car Rumors - MacRumors,AAPL Stock Sets New All-Time High Following Latest Apple Car Rumors  MacRumors,"Thu, 18 Nov 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3Lm1hY3J1bW9ycy5jb20vMjAyMS8xMS8xOC9hYXBsLWFsbC10aW1lLWhpZ2gtY2FyLXJ1bW9ycy_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.macrumors.com', 'title': 'MacRumors'}",AAPL,
