Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company,Unnamed: 0.1.1
0,0,How Much Would $10000 Invested in Apple Stock 20 Years Ago Be Worth Today? - U.S News & World Report Money,How Much Would $10000 Invested in Apple Stock 20 Years Ago Be Worth Today?  U.S News & World Report Money,"Fri, 22 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvYXJ0aWNsZXMvYXBwbGUtYWFwbC1zdG9jay1pbnZlc3RtZW50LXdvcnRoLXRvZGF50gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://money.usnews.com', 'title': 'U.S News & World Report Money'}",AAPL,
1,1,What to Expect from Apple (AAPL) Stock In September as iPhone Launch Approaches - Nasdaq,What to Expect from Apple (AAPL) Stock In September as iPhone Launch Approaches  Nasdaq,"Mon, 28 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvd2hhdC10by1leHBlY3QtZnJvbS1hcHBsZS1hYXBsLXN0b2NrLWluLXNlcHRlbWJlci1hcy1pcGhvbmUtbGF1bmNoLWFwcHJvYWNoZXPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}",AAPL,
2,2,Did Apple Stock (AAPL) Deserve This Downgrade? - TheStreet,Did Apple Stock (AAPL) Deserve This Downgrade?  TheStreet,"Thu, 07 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvbmV3cy9kaWQtYXBwbGUtc3RvY2stYWFwbC1kZXNlcnZlLXRoaXMtZG93bmdyYWRlLdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL,
3,3,Apple Inc. (NASDAQ:AAPL) Q3 2023 Earnings Call Transcript - Yahoo Finance,Apple Inc. (NASDAQ:AAPL) Q3 2023 Earnings Call Transcript  Yahoo Finance,"Fri, 04 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1pbmMtbmFzZGFxLWFhcGwtcTMtMTQ0NjA1NDk1Lmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AAPL,
4,4,Megacap Slump Is Testing Apple's Safe-Haven Status - Bloomberg,Megacap Slump Is Testing Apple's Safe-Haven Status  Bloomberg,"Fri, 29 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA5LTI5L21lZ2FjYXAtc2x1bXAtaXMtdGVzdGluZy1hcHBsZS1zLXNhZmUtaGF2ZW4tc3RhdHVzLXRlY2gtd2F0Y2jSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL,
5,5,Apple beats soft expectations driven by 8% services growth: Live updates - CNBC,Apple beats soft expectations driven by 8% services growth: Live updates  CNBC,"Thu, 03 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDgvMDMvYXBwbGUtZWFybmluZ3MtbGl2ZS11cGRhdGVzLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMy8wOC8wMy9hcHBsZS1lYXJuaW5ncy1saXZlLXVwZGF0ZXMuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",AAPL,
6,6,AAPL: 3 Reasons Why Apple May Be Looking A Little Better To Buy After A Post Earnings Pullback - StockNews.com,AAPL: 3 Reasons Why Apple May Be Looking A Little Better To Buy After A Post Earnings Pullback  StockNews.com,"Tue, 22 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vc3RvY2tuZXdzLmNvbS9uZXdzL2FhcGwtMy1yZWFzb25zLXdoeS1hcHBsZS1tYXktYmUtbG9va2luZy1hLWxpdHRsZS1iZXR0ZXIv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://stocknews.com', 'title': 'StockNews.com'}",AAPL,
7,7,"Dear AAPL Stock Fans, Mark Your Calendars for Sept. 15 - InvestorPlace","Dear AAPL Stock Fans, Mark Your Calendars for Sept. 15  InvestorPlace","Wed, 13 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMy8wOS9kZWFyLWFhcGwtc3RvY2stZmFucy1tYXJrLXlvdXItY2FsZW5kYXJzLWZvci1zZXB0LTE1L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://investorplace.com', 'title': 'InvestorPlace'}",AAPL,
8,8,Should You Buy Apple (AAPL) Stock? | Investing | U.S. News - U.S News & World Report Money,Should You Buy Apple (AAPL) Stock? | Investing | U.S. News  U.S News & World Report Money,"Thu, 07 Sep 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3Rpbmcvc3RvY2stbWFya2V0LW5ld3MvYXJ0aWNsZXMvcHJvcy1hbmQtY29ucy10by1idXlpbmctYXBwbGUtYWFwbC1zdG9ja9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://money.usnews.com', 'title': 'U.S News & World Report Money'}",AAPL,
9,9,Is Apple Inc (AAPL) Fairly Valued? An In-depth Analysis - Yahoo Finance,Is Apple Inc (AAPL) Fairly Valued? An In-depth Analysis  Yahoo Finance,"Thu, 24 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1pbmMtYWFwbC1mYWlybHktdmFsdWVkLTE2MTkwNzEwOC5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AAPL,
