Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,Introducing Meta Store: A Hands-On Experience With Our Hardware - Meta,Introducing Meta Store: A Hands-On Experience With Our Hardware  Meta,"Mon, 25 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNC9tZXRhLXJldGFpbC1zdG9yZS_SAThodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjIvMDQvbWV0YS1yZXRhaWwtc3RvcmUvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
1,1,"Meta reportedly plans to shut down CrowdTangle, its tool that tracks popular social media posts - The Verge","Meta reportedly plans to shut down CrowdTangle, its tool that tracks popular social media posts  The Verge","Thu, 23 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIyLzYvMjMvMjMxODAzNTcvbWV0YS1jcm93ZHRhbmdsZS1zaHV0LWRvd24tZmFjZWJvb2stbWlzaW5mb3JtYXRpb24tdmlyYWwtbmV3cy10cmFja2Vy0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.theverge.com', 'title': 'The Verge'}",META
2,2,Meta’s latest privacy scandal includes hospitals sending patient data - Vox.com,Meta’s latest privacy scandal includes hospitals sending patient data  Vox.com,"Fri, 17 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LnZveC5jb20vcmVjb2RlLzIzMTcyNjkxL21ldGEtdHJhY2tpbmctcHJpdmFjeS1ob3NwaXRhbHPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.vox.com', 'title': 'Vox.com'}",META
3,3,'Meta' Doesn't Mean What You Think It Does - The Atlantic,'Meta' Doesn't Mean What You Think It Does  The Atlantic,"Mon, 06 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LnRoZWF0bGFudGljLmNvbS9uZXdzbGV0dGVycy9hcmNoaXZlLzIwMjIvMDYvbWV0YS1vcmlnaW4taXJvbnkvNjYxMTkxL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.theatlantic.com', 'title': 'The Atlantic'}",META
4,4,Introducing Digital Collectibles to Showcase NFTs on Instagram - Meta,Introducing Digital Collectibles to Showcase NFTs on Instagram  Meta,"Tue, 10 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNS9pbnRyb2R1Y2luZy1kaWdpdGFsLWNvbGxlY3RpYmxlcy10by1zaG93Y2FzZS1uZnRzLWluc3RhZ3JhbS_SAWJodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjIvMDUvaW50cm9kdWNpbmctZGlnaXRhbC1jb2xsZWN0aWJsZXMtdG8tc2hvd2Nhc2UtbmZ0cy1pbnN0YWdyYW0vYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
5,5,Introducing New Ways to Verify Age on Instagram - Meta,Introducing New Ways to Verify Age on Instagram  Meta,"Thu, 23 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNi9uZXctd2F5cy10by12ZXJpZnktYWdlLW9uLWluc3RhZ3JhbS_SAUpodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjIvMDYvbmV3LXdheXMtdG8tdmVyaWZ5LWFnZS1vbi1pbnN0YWdyYW0vYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
6,6,Launching AMBER Alerts on Instagram to Help Find Missing Children - Meta,Launching AMBER Alerts on Instagram to Help Find Missing Children  Meta,"Wed, 01 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNi9sYXVuY2hpbmctYW1iZXItYWxlcnRzLW9uLWluc3RhZ3JhbS_SAUpodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjIvMDYvbGF1bmNoaW5nLWFtYmVyLWFsZXJ0cy1vbi1pbnN0YWdyYW0vYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
7,7,Expanding Our Work on Ads Fairness - Meta,Expanding Our Work on Ads Fairness  Meta,"Tue, 21 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNi9leHBhbmRpbmctb3VyLXdvcmstb24tYWRzLWZhaXJuZXNzL9IBSWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNi9leHBhbmRpbmctb3VyLXdvcmstb24tYWRzLWZhaXJuZXNzL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
8,8,New Tools and Resources for Parents and Teens in VR and on Instagram - Meta,New Tools and Resources for Parents and Teens in VR and on Instagram  Meta,"Tue, 14 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNi90b29scy1mb3ItcGFyZW50cy10ZWVucy12ci1hbmQtaW5zdGFncmFtL9IBT2h0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNi90b29scy1mb3ItcGFyZW50cy10ZWVucy12ci1hbmQtaW5zdGFncmFtL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
9,9,Here’s What You Need to Know About Our Updated Privacy Policy and Terms of Service - Meta,Here’s What You Need to Know About Our Updated Privacy Policy and Terms of Service  Meta,"Thu, 26 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNS9tZXRhcy11cGRhdGVkLXByaXZhY3ktcG9saWN5L9IBQ2h0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wNS9tZXRhcy11cGRhdGVkLXByaXZhY3ktcG9saWN5L2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}",META
