Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,Amazon's Big Split - Investopedia,Amazon's Big Split  Investopedia,"Mon, 06 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vYW1hem9uLXMtYmlnLXNwbGl0LTUzMjQ1NzLSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",AMZN
1,1,Amazon's Biggest Drop Since 2006 Caps Miserable Month for Tech - Bloomberg,Amazon's Biggest Drop Since 2006 Caps Miserable Month for Tech  Bloomberg,"Fri, 29 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA0LTI5L2FtYXpvbi1zLWJpZ2dlc3QtZHJvcC1zaW5jZS0yMDE0LWNhcHMtbWlzZXJhYmxlLW1vbnRoLWZvci10ZWNo0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AMZN
2,2,Amazon shares fall on bleak forecast and slowest growth since dot-com bust - CNBC,Amazon shares fall on bleak forecast and slowest growth since dot-com bust  CNBC,"Thu, 28 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDQvMjgvYW1hem9uLWFtem4tcTEtMjAyMi1lYXJuaW5ncy5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMDQvMjgvYW1hem9uLWFtem4tcTEtMjAyMi1lYXJuaW5ncy5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",AMZN
3,3,"In a Stinging Rebuke, Amazon Shareholders Vote 27% of Outside Shares Against Key Board Director - New York City Comptroller","In a Stinging Rebuke, Amazon Shareholders Vote 27% of Outside Shares Against Key Board Director  New York City Comptroller","Fri, 27 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMigwFodHRwczovL2NvbXB0cm9sbGVyLm55Yy5nb3YvbmV3c3Jvb20vaW4tYS1zdGluZ2luZy1yZWJ1a2UtYW1hem9uLXNoYXJlaG9sZGVycy12b3RlLTI3LW9mLW91dHNpZGUtc2hhcmVzLWFnYWluc3Qta2V5LWJvYXJkLWRpcmVjdG9yL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://comptroller.nyc.gov', 'title': 'New York City Comptroller'}",AMZN
4,4,Amazon Stock Split: What You Need To Know - Forbes,Amazon Stock Split: What You Need To Know  Forbes,"Mon, 06 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vYWR2aXNvci9pbnZlc3RpbmcvYW1hem9uLXN0b2NrLXNwbGl0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",AMZN
5,5,Amazon stock plunges as growth slows - CNN,Amazon stock plunges as growth slows  CNN,"Thu, 28 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wNC8yOC90ZWNoL2FtYXpvbi1lYXJuaW5ncy1sb3NzL2luZGV4Lmh0bWzSATxodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIyLzA0LzI4L3RlY2gvYW1hem9uLWVhcm5pbmdzLWxvc3M?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnn.com', 'title': 'CNN'}",AMZN
6,6,Introducing the $1 billion Amazon Industrial Innovation Fund - About Amazon,Introducing the $1 billion Amazon Industrial Innovation Fund  About Amazon,"Thu, 21 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL2lubm92YXRpb24tYXQtYW1hem9uL2ludHJvZHVjaW5nLXRoZS0xLWJpbGxpb24tYW1hem9uLWluZHVzdHJpYWwtaW5ub3ZhdGlvbi1mdW5k0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",AMZN
7,7,Amazon Web Services: The Number One Reason To Hold Onto AMZN Stock - TheStreet,Amazon Web Services: The Number One Reason To Hold Onto AMZN Stock  TheStreet,"Mon, 09 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYW1hem9uL2F3cy9hbWF6b24td2ViLXNlcnZpY2VzLXRoZS1udW1iZXItb25lLXJlYXNvbi10by1ob2xkLW9udG8tYW16bi1zdG9ja9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AMZN
8,8,Amazon stock plunges after company issues disappointing revenue forecast - Yahoo Finance,Amazon stock plunges after company issues disappointing revenue forecast  Yahoo Finance,"Thu, 28 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hbWF6b24tZWFybmluZ3MtMTkyNzMyMzQ1Lmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AMZN
9,9,"Opinion | From Amazon to Starbucks, America Is Unionizing. Will Politics Catch Up? (Published 2022) - The New York Times","Opinion | From Amazon to Starbucks, America Is Unionizing. Will Politics Catch Up? (Published 2022)  The New York Times","Wed, 20 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjIvMDQvMjAvb3Bpbmlvbi9hbWF6b24tc3RhcmJ1Y2tzLXVuaW9ucy10aGUtYXJndW1lbnQuaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}",AMZN
