Unnamed: 0,Unnamed: 0.1,title,description,published date,url,publisher,company
0,0,Apple shares dip after company warns of a possible $8 billion hit from supply constraints - CNBC,Apple shares dip after company warns of a possible $8 billion hit from supply constraints  CNBC,"Thu, 28 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDQvMjgvYXBwbGUtYWFwbC1lYXJuaW5ncy1xMi0yMDIyLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMi8wNC8yOC9hcHBsZS1hYXBsLWVhcm5pbmdzLXEyLTIwMjIuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}",AAPL
1,1,Will Apple (AAPL) Stock Rebound Post WWDC22 Announcements? - Yahoo Finance,Will Apple (AAPL) Stock Rebound Post WWDC22 Announcements?  Yahoo Finance,"Wed, 08 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1hYXBsLXN0b2NrLXJlYm91bmQtcG9zdC0xMzU4MDEwNjMuaHRtbNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AAPL
2,2,Apple (AAPL) Q2 2022 Earnings Call Transcript - The Motley Fool,Apple (AAPL) Q2 2022 Earnings Call Transcript  The Motley Fool,"Fri, 29 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmZvb2wuY29tL2Vhcm5pbmdzL2NhbGwtdHJhbnNjcmlwdHMvMjAyMi8wNC8yOS9hcHBsZS1hYXBsLXEyLTIwMjItZWFybmluZ3MtY2FsbC10cmFuc2NyaXB0L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.fool.com', 'title': 'The Motley Fool'}",AAPL
3,3,How To Buy Apple Stock (AAPL) In India - Forbes,How To Buy Apple Stock (AAPL) In India  Forbes,"Thu, 26 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vYWR2aXNvci9pbi9pbnZlc3RpbmcvaG93LXRvLWJ1eS1hcHBsZS1hYXBsLXN0b2NrL9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}",AAPL
4,4,Apple Ramps Up Hiring for Car Project; Will Apple (AAPL) Acquire Canoo (GOEV)? - Bloomberg,Apple Ramps Up Hiring for Car Project; Will Apple (AAPL) Acquire Canoo (GOEV)?  Bloomberg,"Sun, 15 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvbmV3c2xldHRlcnMvMjAyMi0wNS0xNS9hcHBsZS1yYW1wcy11cC1oaXJpbmctZm9yLWNhci1wcm9qZWN0LXdpbGwtYXBwbGUtYWFwbC1hY3F1aXJlLWNhbm9vLWdvZXYtbDM3Y25lcHjSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
5,5,Apple's Latest Supply Chain Moves Are Good For AAPL Stock - TheStreet,Apple's Latest Supply Chain Moves Are Good For AAPL Stock  TheStreet,"Tue, 12 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvbmV3cy9hcHBsZXMtbGF0ZXN0LXN1cHBseS1jaGFpbi1tb3Zlcy1hcmUtZ29vZC1mb3ItYWFwbC1zdG9ja9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL
6,6,Apple Earnings: What to Look For From AAPL - Investopedia,Apple Earnings: What to Look For From AAPL  Investopedia,"Wed, 27 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vYXBwbGUtcTItZnkyMDIyLWVhcm5pbmdzLXJlcG9ydC1wcmV2aWV3LTUyNjgxMzDSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",AAPL
7,7,"Apple’s (AAPL) Covid Effects: Supply Snags, Masking and Office-Return Delays - Bloomberg","Apple’s (AAPL) Covid Effects: Supply Snags, Masking and Office-Return Delays  Bloomberg","Sun, 22 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvbmV3c2xldHRlcnMvMjAyMi0wNS0yMi9hcHBsZS1zLWFhcGwtY292aWQtZWZmZWN0cy1zdXBwbHktc25hZ3MtbWFza2luZy1hbmQtb2ZmaWNlLXJldHVybi1kZWxheXMtbDNoY3FqdWfSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
8,8,"Down 11.8% in a Week, Why Apple Inc. (NASDAQ:AAPL) may be Approaching Value Territory - Yahoo Finance","Down 11.8% in a Week, Why Apple Inc. (NASDAQ:AAPL) may be Approaching Value Territory  Yahoo Finance","Thu, 12 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9kb3duLTExLTgtd2Vlay13aHktMTI1MzA3MDUzLmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AAPL
9,9,Will Apple (AAPL) Move More of Its Supply Chain Out of China? - Bloomberg,Will Apple (AAPL) Move More of Its Supply Chain Out of China?  Bloomberg,"Sun, 01 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDIyLTA1LTAxL3dpbGwtYXBwbGUtYWFwbC1tb3ZlLW1vcmUtb2YtaXRzLXN1cHBseS1jaGFpbi1vdXQtb2YtY2hpbmEtbDJuY2hzdWrSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
10,10,Michael Burry's Short Position in Apple Stock Should Wake Up Investors - Yahoo Finance,Michael Burry's Short Position in Apple Stock Should Wake Up Investors  Yahoo Finance,"Thu, 19 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9taWNoYWVsLWJ1cnJ5LXNob3J0LXBvc2l0aW9uLWFwcGxlLTE0NTAyNjcwOC5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}",AAPL
11,11,When Will Apple’s (AAPL) iPhone 14 Go on Sale? What Is New About iPhone 14? - Bloomberg,When Will Apple’s (AAPL) iPhone 14 Go on Sale? What Is New About iPhone 14?  Bloomberg,"Sun, 24 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvbmV3c2xldHRlcnMvMjAyMi0wNC0yNC93aGVuLXdpbGwtYXBwbGUtcy1hYXBsLWlwaG9uZS0xNC1nby1vbi1zYWxlLXdoYXQtaXMtbmV3LWFib3V0LWlwaG9uZS0xNC1sMmRjZWl5etIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
12,12,Apple Return to Office Policy Faces Discontent From Employees (AAPL) - Bloomberg,Apple Return to Office Policy Faces Discontent From Employees (AAPL)  Bloomberg,"Mon, 04 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA0LTA0L2FwcGxlLWFhcGwtZmFjZXMtZGlzY29udGVudC1mcm9tLWVtcGxveWVlcy1vdmVyLXJldHVybi10by1vZmZpY2UtcG9saWN50gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
13,13,What's Coming in Apple (AAPL) iOS 16? Is iPhone 14 Getting an Always-On Screen? - Bloomberg,What's Coming in Apple (AAPL) iOS 16? Is iPhone 14 Getting an Always-On Screen?  Bloomberg,"Sun, 29 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvbmV3c2xldHRlcnMvMjAyMi0wNS0yOS93aGF0LXMtY29taW5nLWluLWFwcGxlLWFhcGwtaW9zLTE2LWlzLWlwaG9uZS0xNC1nZXR0aW5nLWFuLWFsd2F5cy1vbi1zY3JlZW4tbDNyY3U3czPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
14,14,How Does iPhone Subscription Work to Earn Apple (AAPL) More Revenue? - Bloomberg,How Does iPhone Subscription Work to Earn Apple (AAPL) More Revenue?  Bloomberg,"Sun, 03 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiggFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvbmV3c2xldHRlcnMvMjAyMi0wNC0wMy93aWxsLWktYmUtYWJsZS10by1zdWJzY3JpYmUtdG8tbXktYXBwbGUtYWFwbC1pcGhvbmUtYW5kLXBheS1tb250aGx5LWwxamM1bzNl0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
15,15,Apple's (AAPL) iOS 16 CarPlay Is Precursor to Apple Car; WWDC 2022 Recap - Bloomberg,Apple's (AAPL) iOS 16 CarPlay Is Precursor to Apple Car; WWDC 2022 Recap  Bloomberg,"Sun, 12 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvbmV3c2xldHRlcnMvMjAyMi0wNi0xMi9hcHBsZS1zLWFhcGwtaW9zLTE2LWNhcnBsYXktaXMtcHJlY3Vyc29yLXRvLWFwcGxlLWNhci13d2RjLTIwMjItcmVjYXAtbDRiY3poYzbSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
16,16,Apple Shares (AAPL) Dip 6.2% as CEO Sees Supply Constraints in Current Quarter - Bloomberg,Apple Shares (AAPL) Dip 6.2% as CEO Sees Supply Constraints in Current Quarter  Bloomberg,"Thu, 28 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA0LTI4L2FwcGxlLXNhbGVzLXRvcC1lc3RpbWF0ZXMtb24tc3Ryb25nLWlwaG9uZS1hbmQtc2VydmljZXMtZGVtYW5k0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
17,17,Can Third-Party Banks and Apps Use Apple (AAPL) iPhone NFC for Tap-to-Pay? - Bloomberg,Can Third-Party Banks and Apps Use Apple (AAPL) iPhone NFC for Tap-to-Pay?  Bloomberg,"Sun, 08 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvbmV3c2xldHRlcnMvMjAyMi0wNS0wOC9jYW4tdGhpcmQtcGFydHktYmFua3MtYW5kLWFwcHMtdXNlLWFwcGxlLWFhcGwtaXBob25lLW5mYy1mb3ItdGFwLXRvLXBheS1sMnhja2c1ZdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
18,18,"Apple (AAPL) Plans iPhone 14, Apple Watch Series 8, M2 Macs for 2022 and 2023 - Bloomberg","Apple (AAPL) Plans iPhone 14, Apple Watch Series 8, M2 Macs for 2022 and 2023  Bloomberg","Sun, 26 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiiAFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvbmV3c2xldHRlcnMvMjAyMi0wNi0yNi9hcHBsZS1hYXBsLXBsYW5zLWlwaG9uZS0xNC1hcHBsZS13YXRjaC1zZXJpZXMtOC1tMi1tYWNzLWZvci0yMDIyLWFuZC0yMDIzLWw0dmQ1dW540gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
19,19,"AAPL, GOOGL, MSFT Push Universal Password-Free Sign-Ins - Investopedia","AAPL, GOOGL, MSFT Push Universal Password-Free Sign-Ins  Investopedia","Tue, 17 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vYWFwbC1nb29nbC1tc2Z0LXB1c2gtdW5pdmVyc2FsLXBhc3N3b3JkLWZyZWUtc2lnbi1pbnMtNTI3MjIxMNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",AAPL
20,20,Live: Apple WWDC 2022 Keynote (AAPL); Updates From Tim Cook - Bloomberg,Live: Apple WWDC 2022 Keynote (AAPL); Updates From Tim Cook  Bloomberg,"Mon, 06 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9saXZlLWJsb2cvMjAyMi0wNi0wMy9hcHBsZS13b3JsZHdpZGUtZGV2ZWxvcGVycy1jb25mZXJlbmNlLWtleW5vdGXSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
21,21,Apple Announces New Accessibility Features - Investopedia,Apple Announces New Accessibility Features  Investopedia,"Mon, 23 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vYXBwbGUtYW5ub3VuY2VzLW5ldy1hY2Nlc3NpYmlsaXR5LWZlYXR1cmVzLTUzMjI4NDLSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}",AAPL
22,22,Apple Testing iPhones That Ditch Lightning Ports in Favor of USB-C - Bloomberg,Apple Testing iPhones That Ditch Lightning Ports in Favor of USB-C  Bloomberg,"Fri, 13 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA1LTEzL2FwcGxlLXBsYW5zLXRvLWNoYW5nZS1pcGhvbmUtY2hhcmdpbmctcG9ydC10by1tZWV0LW5ldy1ldS1sYXfSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
23,23,Apple Hires 31-Year Ford Veteran to Ramp Up Electric-Car Work - Bloomberg,Apple Hires 31-Year Ford Veteran to Ramp Up Electric-Car Work  Bloomberg,"Tue, 03 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA1LTAzL2FwcGxlLWhpcmVzLTMxLXllYXItZm9yZC1leGVjdXRpdmUtdG8tcmFtcC11cC1lbGVjdHJpYy1jYXItd29ya9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
24,24,Apple (AAPL) iPadOS 16 Plans: What Should It Change for WWDC 2022? - Bloomberg,Apple (AAPL) iPadOS 16 Plans: What Should It Change for WWDC 2022?  Bloomberg,"Sun, 17 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9uZXdzbGV0dGVycy8yMDIyLTA0LTE3L2FwcGxlLWFhcGwtaXBhZG9zLTE2LXBsYW5zLXdoYXQtc2hvdWxkLWl0LWNoYW5nZS1mb3Itd3dkYy0yMDIyLWwyM2Niazk30gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
25,25,"What’s Coming at Apple (AAPL) WWDC 2022? iOS 16, macOS 13, tvOS 16, watchOS 9 - Bloomberg","What’s Coming at Apple (AAPL) WWDC 2022? iOS 16, macOS 13, tvOS 16, watchOS 9  Bloomberg","Sun, 10 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5ibG9vbWJlcmcuY29tL25ld3MvbmV3c2xldHRlcnMvMjAyMi0wNC0xMC93aGF0LXMtY29taW5nLWF0LWFwcGxlLWFhcGwtd3dkYy0yMDIyLWlvcy0xNi1tYWNvcy0xMy10dm9zLTE2LXdhdGNob3MtOS1sMXRjOG0zc9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
26,26,Apple (AAPL) Spends Record High of $2.5 Million on Lobbying - Bloomberg,Apple (AAPL) Spends Record High of $2.5 Million on Lobbying  Bloomberg,"Thu, 21 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA0LTIxL2FwcGxlLXNwZW5kcy1yZWNvcmQtaGlnaC1vbi1sb2JieWluZy1hbWlkLXByZXNzdXJlLWZyb20tY29uZ3Jlc3PSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
27,27,ARKK: Why Cathie Wood Won't Buy Apple Stock - TheStreet,ARKK: Why Cathie Wood Won't Buy Apple Stock  TheStreet,"Wed, 25 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvbmV3cy9hcmtrLXdoeS1jYXRoaWUtd29vZC13b250LWJ1eS1hcHBsZS1zdG9ja9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL
28,28,Will the New M2 MacBook Air Be Enough to Kickstart Apple? - InvestorPlace,Will the New M2 MacBook Air Be Enough to Kickstart Apple?  InvestorPlace,"Wed, 08 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMi8wNi93aWxsLW5ldy1tMi1tYWNib29rLWFpci1iZS1lbm91Z2gtdG8ta2lja3N0YXJ0LWFhcGwtc3RvY2sv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://investorplace.com', 'title': 'InvestorPlace'}",AAPL
29,29,What's Coming at Apple (AAPL) WWDC? IPad Upgrades That Make It More Like Laptop - Bloomberg,What's Coming at Apple (AAPL) WWDC? IPad Upgrades That Make It More Like Laptop  Bloomberg,"Thu, 02 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA2LTAyL2FwcGxlLXRvLXVwZ3JhZGUtaXRzLWlwYWQtc29mdHdhcmUtaW4tYmlkLXRvLXNhdGlzZnktcHJvLXVzZXJz0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
30,30,"Warren Buffett bought $600M worth of AAPL last quarter, may be buying more now - 9to5Mac","Warren Buffett bought $600M worth of AAPL last quarter, may be buying more now  9to5Mac","Mon, 02 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vOXRvNW1hYy5jb20vMjAyMi8wNS8wMi93YXJyZW4tYnVmZmV0dC1ib3VnaHQtNjAwbS1hYXBsLXNoYXJlcy_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://9to5mac.com', 'title': '9to5Mac'}",AAPL
31,31,Return On $100 In Apple (AAPL) Stock Since First iPhone Launch - Apple (NASDAQ:AAPL) - Benzinga,Return On $100 In Apple (AAPL) Stock Since First iPhone Launch - Apple (NASDAQ:AAPL)  Benzinga,"Thu, 30 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5iZW56aW5nYS5jb20vbmV3cy8yMi8wNi8yNzkxMTUzNi9oZXJlcy1ob3ctbXVjaC15b3VkLWhhdmUtbm93LWlmLXlvdS1pbnZlc3RlZC0xMDAtd2hlbi1hcHBsZS1zb2xkLWl0cy1maXJzdC1ldmVyLWlwaG9uZdIBLWh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9hbXAvY29udGVudC8yNzkxMTUzNg?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.benzinga.com', 'title': 'Benzinga'}",AAPL
32,32,Apple Readies Several New Macs With Next-Generation M2 Chips - Bloomberg,Apple Readies Several New Macs With Next-Generation M2 Chips  Bloomberg,"Thu, 14 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA0LTE0L2FwcGxlLXJlYWRpZXMtc2V2ZXJhbC1uZXctbWFjcy13aXRoLW5leHQtZ2VuZXJhdGlvbi1tMi1jaGlwc9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
33,33,Apple (AAPL) adds $90 billion to stock buyback program - Shacknews,Apple (AAPL) adds $90 billion to stock buyback program  Shacknews,"Thu, 28 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LnNoYWNrbmV3cy5jb20vYXJ0aWNsZS8xMzAwOTEvYXBwbGUtYWFwbC1hZGRzLTkwLWJpbGxpb24tdG8tc3RvY2stYnV5YmFjay1wcm9ncmFt0gFmaHR0cHM6Ly93d3cuc2hhY2tuZXdzLmNvbS9hcnRpY2xlLzEzMDA5MS9hcHBsZS1hYXBsLWFkZHMtOTAtYmlsbGlvbi10by1zdG9jay1idXliYWNrLXByb2dyYW0_YW1waHRtbD0x?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.shacknews.com', 'title': 'Shacknews'}",AAPL
34,34,Apple Stock: Investors Should Know This Ahead Of Earnings - TheStreet,Apple Stock: Investors Should Know This Ahead Of Earnings  TheStreet,"Tue, 19 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svYXBwbGUtc3RvY2staW52ZXN0b3JzLXNob3VsZC1rbm93LXRoaXMtYWhlYWQtb2YtZWFybmluZ3PSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL
35,35,Is Apple Stock Cheap Today? A Valuation Analysis - TheStreet,Is Apple Stock Cheap Today? A Valuation Analysis  TheStreet,"Wed, 13 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svaXMtYXBwbGUtc3RvY2stY2hlYXAtdG9kYXktYS12YWx1YXRpb24tYW5hbHlzaXPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL
36,36,Apple (AAPL) Shows Headset to Board in Sign It's Reached Advanced Stage - Bloomberg,Apple (AAPL) Shows Headset to Board in Sign It's Reached Advanced Stage  Bloomberg,"Thu, 19 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA1LTE5L2FwcGxlLXNob3dzLWhlYWRzZXQtdG8tYm9hcmQtaW4tc2lnbi1pdC1zLXJlYWNoZWQtYWR2YW5jZWQtc3RhZ2XSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
37,37,Warren Buffett Is Loading Up On Apple Stock. Should You? - TheStreet,Warren Buffett Is Loading Up On Apple Stock. Should You?  TheStreet,"Wed, 04 May 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svd2FycmVuLWJ1ZmZldHQtaXMtbG9hZGluZy11cC1vbi1hcHBsZS1zdG9jay1zaG91bGQteW910gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}",AAPL
38,38,Apple MacBook Shipments Delayed as China's Lockdowns Slow Production - Bloomberg,Apple MacBook Shipments Delayed as China's Lockdowns Slow Production  Bloomberg,"Wed, 13 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA0LTEzL2FwcGxlLW1hY2Jvb2stc2hpcG1lbnRzLWRlbGF5ZWQtYWZ0ZXItbG9ja2Rvd25zLXNsb3ctcHJvZHVjdGlvbtIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
39,39,Apple (AAPL) Will Handle Its Own Lending for Buy Now Pay Later Service - Bloomberg,Apple (AAPL) Will Handle Its Own Lending for Buy Now Pay Later Service  Bloomberg,"Wed, 08 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIyLTA2LTA4L2FwcGxlLXdpbGwtaGFuZGxlLXRoZS1sZW5kaW5nLWl0c2VsZi13aXRoLW5ldy1wYXktbGF0ZXItc2VydmljZdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",AAPL
