,title,description,published date,url,publisher
10,Apple shares dip after company warns of a possible $8 billion hit from supply constraints - CNBC,Apple shares dip after company warns of a possible $8 billion hit from supply constraints  CNBC,"Thu, 28 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDQvMjgvYXBwbGUtYWFwbC1lYXJuaW5ncy1xMi0yMDIyLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMi8wNC8yOC9hcHBsZS1hYXBsLWVhcm5pbmdzLXEyLTIwMjIuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
11,Apple Stock At $500 Per Share: Could It Happen? - TheStreet,Apple Stock At $500 Per Share: Could It Happen?  TheStreet,"Tue, 04 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vYXBwbGUvc3RvY2svYXBwbGUtc3RvY2stYXQtNTAwLXBlci1zaGFyZS1jb3VsZC1pdC1oYXBwZW7SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.thestreet.com', 'title': 'TheStreet'}"
12,Apple Inc. (NASDAQ:AAPL) Q3 2023 Earnings Call Transcript - Yahoo Finance,Apple Inc. (NASDAQ:AAPL) Q3 2023 Earnings Call Transcript  Yahoo Finance,"Fri, 04 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1pbmMtbmFzZGFxLWFhcGwtcTMtMTQ0NjA1NDk1Lmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
13,"Apple beats on revenue and profit, expects growth to accelerate despite 'pockets of softness' - CNBC","Apple beats on revenue and profit, expects growth to accelerate despite 'pockets of softness'  CNBC","Thu, 28 Jul 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDcvMjgvYXBwbGUtYWFwbC1lYXJuaW5ncy1xMy0yMDIyLmh0bWzSAURodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyMi8wNy8yOC9hcHBsZS1hYXBsLWVhcm5pbmdzLXEzLTIwMjIuaHRtbA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
14,Apple Earnings Preview: Bull vs Bear Case for AAPL Stock - Yahoo Finance,Apple Earnings Preview: Bull vs Bear Case for AAPL Stock  Yahoo Finance,"Wed, 03 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1lYXJuaW5ncy1wcmV2aWV3LWJ1bGwtdnMtMTUyNzAzNjQ1Lmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
15,Apple stock dips after weak outlook for December quarter revenue - CNBC,Apple stock dips after weak outlook for December quarter revenue  CNBC,"Thu, 02 Nov 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTEvMDIvYXBwbGUtYWFwbC1lYXJuaW5ncy1yZXBvcnQtcTQtMjAyMy5odG1s0gFLaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjMvMTEvMDIvYXBwbGUtYWFwbC1lYXJuaW5ncy1yZXBvcnQtcTQtMjAyMy5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
16,Would You Dare to Invest in Apple (AAPL)? - Yahoo Finance,Would You Dare to Invest in Apple (AAPL)?  Yahoo Finance,"Fri, 08 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9kYXJlLWludmVzdC1hcHBsZS1hYXBsLTA2NDk0OTI1MS5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
17,When Should You Buy Apple Inc. (NASDAQ:AAPL)? - Yahoo Finance,When Should You Buy Apple Inc. (NASDAQ:AAPL)?  Yahoo Finance,"Sat, 25 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9idXktYXBwbGUtaW5jLW5hc2RhcS1hYXBsLTExMDEwMzg5MC5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
18,Why Did Apple (AAPL) Drop on an Earnings Beat? - Nasdaq,Why Did Apple (AAPL) Drop on an Earnings Beat?  Nasdaq,"Fri, 03 Nov 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3Lm5hc2RhcS5jb20vYXJ0aWNsZXMvd2h5LWRpZC1hcHBsZS1hYXBsLWRyb3Atb24tYW4tZWFybmluZ3MtYmVhdNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.nasdaq.com', 'title': 'Nasdaq'}"
19,Apple (AAPL) Fell on Restrictions from China - Yahoo Finance,Apple (AAPL) Fell on Restrictions from China  Yahoo Finance,"Sun, 24 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcHBsZS1hYXBsLWZlbGwtcmVzdHJpY3Rpb25zLWNoaW5hLTAyMjYwMDMzNS5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
