,title,description,published date,url,publisher
10,How Meta Is Planning for the 2022 US Midterms - Meta,How Meta Is Planning for the 2022 US Midterms  Meta,"Tue, 16 Aug 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wOC9tZXRhLXBsYW5zLWZvci0yMDIyLXVzLW1pZHRlcm1zL9IBRmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wOC9tZXRhLXBsYW5zLWZvci0yMDIyLXVzLW1pZHRlcm1zL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
11,Taking Action Against the Surveillance-For-Hire Industry - Meta,Taking Action Against the Surveillance-For-Hire Industry  Meta,"Thu, 16 Dec 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMS8xMi90YWtpbmctYWN0aW9uLWFnYWluc3Qtc3VydmVpbGxhbmNlLWZvci1oaXJlL9IBUmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMS8xMi90YWtpbmctYWN0aW9uLWFnYWluc3Qtc3VydmVpbGxhbmNlLWZvci1oaXJlL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
12,Giving Teens and Parents More Ways to Manage Their Time on Our Apps - Meta,Giving Teens and Parents More Ways to Manage Their Time on Our Apps  Meta,"Tue, 27 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wNi9wYXJlbnRhbC1zdXBlcnZpc2lvbi1hbmQtdGVlbi10aW1lLW1hbmFnZW1lbnQtb24tbWV0YXMtYXBwcy_SAWJodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjMvMDYvcGFyZW50YWwtc3VwZXJ2aXNpb24tYW5kLXRlZW4tdGltZS1tYW5hZ2VtZW50LW9uLW1ldGFzLWFwcHMvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
13,How AI Influences What You See on Facebook and Instagram - Meta,How AI Influences What You See on Facebook and Instagram  Meta,"Thu, 29 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wNi9ob3ctYWktcmFua3MtY29udGVudC1vbi1mYWNlYm9vay1hbmQtaW5zdGFncmFtL9IBVWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wNi9ob3ctYWktcmFua3MtY29udGVudC1vbi1mYWNlYm9vay1hbmQtaW5zdGFncmFtL2FtcC8?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
14,New Features and Additional Transparency Measures as the Digital Services Act Comes Into Effect - Meta,New Features and Additional Transparency Measures as the Digital Services Act Comes Into Effect  Meta,"Tue, 22 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiggFodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjMvMDgvbmV3LWZlYXR1cmVzLWFuZC1hZGRpdGlvbmFsLXRyYW5zcGFyZW5jeS1tZWFzdXJlcy1hcy10aGUtZGlnaXRhbC1zZXJ2aWNlcy1hY3QtY29tZXMtaW50by1lZmZlY3Qv0gGGAWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wOC9uZXctZmVhdHVyZXMtYW5kLWFkZGl0aW9uYWwtdHJhbnNwYXJlbmN5LW1lYXN1cmVzLWFzLXRoZS1kaWdpdGFsLXNlcnZpY2VzLWFjdC1jb21lcy1pbnRvLWVmZmVjdC9hbXAv?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
15,Raising Online Defenses Through Transparency and Collaboration - Meta,Raising Online Defenses Through Transparency and Collaboration  Meta,"Tue, 29 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wOC9yYWlzaW5nLW9ubGluZS1kZWZlbnNlcy_SAT5odHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjMvMDgvcmFpc2luZy1vbmxpbmUtZGVmZW5zZXMvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
16,Removing Coordinated Inauthentic Behavior From China and Russia - Meta,Removing Coordinated Inauthentic Behavior From China and Russia  Meta,"Tue, 27 Sep 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wOS9yZW1vdmluZy1jb29yZGluYXRlZC1pbmF1dGhlbnRpYy1iZWhhdmlvci1mcm9tLWNoaW5hLWFuZC1ydXNzaWEv0gFmaHR0cHM6Ly9hYm91dC5mYi5jb20vbmV3cy8yMDIyLzA5L3JlbW92aW5nLWNvb3JkaW5hdGVkLWluYXV0aGVudGljLWJlaGF2aW9yLWZyb20tY2hpbmEtYW5kLXJ1c3NpYS9hbXAv?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
17,Meta Quest 3 Coming This Fall + Lower Prices for Quest 2 - Meta,Meta Quest 3 Coming This Fall + Lower Prices for Quest 2  Meta,"Thu, 01 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMy8wNi9tZXRhLXF1ZXN0LTMtY29taW5nLXRoaXMtZmFsbC_SAURodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjMvMDYvbWV0YS1xdWVzdC0zLWNvbWluZy10aGlzLWZhbGwvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
18,Protecting Teens and Their Privacy on Facebook and Instagram - Meta,Protecting Teens and Their Privacy on Facebook and Instagram  Meta,"Mon, 21 Nov 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8xMS9wcm90ZWN0aW5nLXRlZW5zLWFuZC10aGVpci1wcml2YWN5LW9uLWZhY2Vib29rLWFuZC1pbnN0YWdyYW0v0gFjaHR0cHM6Ly9hYm91dC5mYi5jb20vbmV3cy8yMDIyLzExL3Byb3RlY3RpbmctdGVlbnMtYW5kLXRoZWlyLXByaXZhY3ktb24tZmFjZWJvb2stYW5kLWluc3RhZ3JhbS9hbXAv?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
19,Introducing Privacy Center - Meta,Introducing Privacy Center  Meta,"Fri, 07 Jan 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vYWJvdXQuZmIuY29tL25ld3MvMjAyMi8wMS9pbnRyb2R1Y2luZy1wcml2YWN5LWNlbnRlci_SAUFodHRwczovL2Fib3V0LmZiLmNvbS9uZXdzLzIwMjIvMDEvaW50cm9kdWNpbmctcHJpdmFjeS1jZW50ZXIvYW1wLw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://about.fb.com', 'title': 'Meta'}"
