,title,description,published date,url,publisher
10,Amazon stock sinks 13% on weak fourth-quarter guidance - CNBC,Amazon stock sinks 13% on weak fourth-quarter guidance  CNBC,"Thu, 27 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMTAvMjcvYW1hem9uLWFtem4tZWFybmluZ3MtcTMtMjAyMi5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMTAvMjcvYW1hem9uLWFtem4tZWFybmluZ3MtcTMtMjAyMi5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
11,Prime Day Often Pushes Amazon's Stock Price Down - Investopedia,Prime Day Often Pushes Amazon's Stock Price Down  Investopedia,"Sun, 09 Jul 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vaG93LWhhdmUtYW1hem9uLXNoYXJlcy1wZXJmb3JtZWQtZHVyaW5nLXByaW1lLWRheS03NTU3NTE30gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}"
12,Amazon Stock Struggles As It Restructures Workforce - Investor's Business Daily,Amazon Stock Struggles As It Restructures Workforce  Investor's Business Daily,"Fri, 14 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2FtYXpvbi1zdG9jay1idXktbm93L9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}"
13,Amazon (AMZN) Stock Sinks As Market Gains: What You Should Know - Yahoo Finance,Amazon (AMZN) Stock Sinks As Market Gains: What You Should Know  Yahoo Finance,"Thu, 14 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hbWF6b24tYW16bi1zdG9jay1zaW5rcy1tYXJrZXQtMjI0NTE5NDg3Lmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
14,Amazon reports first $100 billion quarter following holiday and pandemic shopping surge - CNBC,Amazon reports first $100 billion quarter following holiday and pandemic shopping surge  CNBC,"Tue, 02 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjEvMDIvMDIvYW1hem9uLWFtem4tZWFybmluZ3MtcTQtMjAyMC5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjEvMDIvMDIvYW1hem9uLWFtem4tZWFybmluZ3MtcTQtMjAyMC5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
15,What Traders Missed About Amazon (AMZN) Over the Years - Investopedia,What Traders Missed About Amazon (AMZN) Over the Years  Investopedia,"Tue, 10 Aug 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vd2hhdC10cmFkZXJzLW1pc3NlZC1hYm91dC1hbWF6b24tYW16bi1vdmVyLXRoZS15ZWFycy01MTk2Nzgx0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}"
16,Is Amazon (AMZN) a Buy as Wall Street Analysts Look Optimistic? - Yahoo Finance,Is Amazon (AMZN) a Buy as Wall Street Analysts Look Optimistic?  Yahoo Finance,"Mon, 25 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hbWF6b24tYW16bi1idXktd2FsbC1zdHJlZXQtMTQzMDA2MDY2Lmh0bWzSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
17,"Amazon Stock: AMZN Rises As Earnings Beat, AWS Builds AI Momentum - Investor's Business Daily","Amazon Stock: AMZN Rises As Earnings Beat, AWS Builds AI Momentum  Investor's Business Daily","Fri, 27 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2FtYXpvbi1zdG9jay1hbXpuLXEzLWVhcm5pbmdzLTIwMjMv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}"
18,"Amazon Stock Down As Earnings, Revenue Beat Amid Cost Cutting - Investor's Business Daily","Amazon Stock Down As Earnings, Revenue Beat Amid Cost Cutting  Investor's Business Daily","Fri, 28 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2FtYXpvbi1zdG9jay1hbWF6b24tZWFybmluZ3MtYW16bi1zdG9jay1xMTIwMjMv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}"
19,Building a Better Future Together 2022 Amazon Sustainability Report - About Amazon,Building a Better Future Together 2022 Amazon Sustainability Report  About Amazon,"Tue, 18 Jul 2023 12:34:59 GMT",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vc3VzdGFpbmFiaWxpdHkuYWJvdXRhbWF6b24uY29tLzIwMjItc3VzdGFpbmFiaWxpdHktcmVwb3J0LnBkZtIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://sustainability.aboutamazon.com', 'title': 'About Amazon'}"
